heading,price,model,extracted_brand,extracted_model,extracted_vram,matched_model_number,canonical_url
3060 Ti,3000,GeForce RTX 3060 Ti 8 GB,NVIDIA,3060 ti,,3060 ti,https://www.finn.no/recommerce/forsale/item/375645313
Sett for Mining Rig,1500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/347943865
GTX 1080 fra Asus Rog Strix - Perfekt for gamingriggen,2499,GeForce GTX 1080 8 GB,NVIDIA,gtx 1080,,gtx 1080,https://www.finn.no/recommerce/forsale/item/375206544
Geforce RTX 2070 Super,2500,GeForce RTX 2070 SUPER 8 GB,NVIDIA,rtx 2070 super,,rtx 2070 super,https://www.finn.no/recommerce/forsale/item/374788058
Asus GeForce RTX 3080 Ti TUF Gaming OC,7499,GeForce RTX 3080 Ti 12 GB,NVIDIA,rtx 3080 ti,,rtx 3080 ti,https://www.finn.no/recommerce/forsale/item/375495688
selger datamaskin for deler,1499,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375144232
Asus RTX 3060 TI duo OC,3200,GeForce RTX 3060 Ti 8 GB,NVIDIA,rtx 3060 ti,,rtx 3060 ti,https://www.finn.no/recommerce/forsale/item/375453263
ASUS RTX 4060 TI DUAL OC 8GB,4500,GeForce RTX 4060 Ti 8 GB,NVIDIA,rtx 4060 ti,8,rtx 4060 ti,https://www.finn.no/recommerce/forsale/item/375419768
Sett for Mining Rig,1300,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=344344145
Sett for Mining Rig,1500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=344344567
Stasjonær pc,2000,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375129369
Asus strix gtx1070 8g gaming,1500,GeForce GTX 1070 8 GB,NVIDIA,gtx 1070,,gtx 1070,https://www.finn.no/bap/forsale/ad.html?finnkode=373098923
RTX 2080 ti,3250,GeForce RTX 2080 Ti 11 GB,NVIDIA,rtx 2080 ti,,rtx 2080 ti,https://www.finn.no/recommerce/forsale/item/374352532
Gainward GeForce RTX 2060 SUPER Ghost 8gb,2600,GeForce RTX 2060 SUPER 8 GB,NVIDIA,rtx 2060 super,8,rtx 2060 super,https://www.finn.no/recommerce/forsale/item/374632603
MSI Geforce gtx 1080ti,2000,GeForce GTX 1080 Ti 11 GB,NVIDIA,gtx 1080 ti,,gtx 1080 ti,https://www.finn.no/recommerce/forsale/item/375744279
