heading,price,model,extracted_brand,extracted_model,extracted_vram,matched_model_number,canonical_url
Gaming Pc / Intel i7 / 16GB Ram,5500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375146876
"Gaming Pc med skjerm, keyboard, mus, høytalere, headset mm.",6500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=369311423
"Kompakt og rask gaming-PC selges! I7-4790, GTX 970, 16Gb,SSD. W10 og Office.",3200,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=368896286
Gaming pc || intel-i7 || gtx 1060 || 16 gb RAM || 500 gb HDD || 256 gb SSD||,3000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=353083560
Komplett i70 Epic Gaming PC,4350,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=371928421
HELT RÅ LENOVO LEGION T5 R7 GAMING-PC - Ryzen 7-5700G 16GB RAM 1TB SSD GTX1060,7995,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=209862924
IBM Aptiva P233mhz med 3dfx Voodoo 1,3000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=371075547
komplett i120 Epic Gaming PC - RTX 3060 Edition,7900,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=370814034
Gaming PC | RTX 2070 | i7-7700k 4.2GHz | 16GB 3200MHz RAM |  Lynrask M.2 Nvme,5000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=370608697
"Asus 27"" 4K gamingskjerm ROG Strix XG27UQ",5500,Radeon RX 5700 8 GB,NVIDIA,rx 5700,,rx 5700,https://www.finn.no/bap/forsale/ad.html?finnkode=372724808
"PC ( i5-7500, RX570 8 GB, 1TB M.2 Lagring)  MED GRATIS SKJERM",4500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=369975141
ASUS ROG Strix B550-E GAMING Hovedkort,2275,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=374156380
6U NAS Kabinett med SAS backplane - Passer i 60cm rack!,6000,GeForce GTX 1080 Ti 11 GB,NVIDIA,1080 ti,,1080 ti,https://www.finn.no/bap/forsale/ad.html?finnkode=367447424
BELKIN Thunderbolt 3 Dock Plus,1400,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/374978883
Komplett Gamer - 144Hz Edition,8000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=368798902
2 x Geforce GTX 680 kort,1500,Unknown,NVIDIA,gtx 680,,,https://www.finn.no/bap/forsale/ad.html?finnkode=367180380
Som ny gaming PC,5499,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=367889036
iMac 27 late 2012 med Sonoma - klar for 2024! Perfekt studentmaskin!,2500,Unknown,,2012,,,https://www.finn.no/recommerce/forsale/item/354839565
"iMac 21,5 mid 2011, SSD og Sonoma OS installert - rask maskin!",2900,Unknown,,2011,,,https://www.finn.no/bap/forsale/ad.html?finnkode=359945325
Gaming pc,8000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=372470512
