heading,price,model,extracted_brand,extracted_model,extracted_vram,matched_model_number,match_count,seller,canonical_url
GIGABYTE GeForce RTX 3070 AORUS MASTER 8GB GRAFIKKORT,3900,GeForce RTX 3070 8 GB,NVIDIA,rtx 3070,8,rtx 3070,1,,https://www.finn.no/recommerce/forsale/item/374780709
"STRØKEN iMac 21,5 late 2013, firekjærners i5, 8 GB RAM, 1 TB disk - SPREK iMAC!",3500,Unknown,,2013,8,,0,,https://www.finn.no/recommerce/forsale/item/331444196
"iMac 27 late 2012 med splitter ny Samsung SSD, Sonoma - grom Mac!",3900,Unknown,,2012,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=368677334
MSI GeForce rtx 2070,2000,GeForce RTX 2070 8 GB,NVIDIA,rtx 2070,,rtx 2070,1,,https://www.finn.no/recommerce/forsale/item/376488252
Amd Radeon 6950 XT,5900,Radeon RX 6950 XT 16 GB,AMD,6950 xt,,6950 xt,1,,https://www.finn.no/recommerce/forsale/item/376713885
Palit Geforce RTX 2060 GamingPRO OC,1100,Multi,NVIDIA,"['rtx 2060', 'rtx 2060']",,"['rtx 2060', 'rtx 2060']",2,,https://www.finn.no/recommerce/forsale/item/376248746
Asus GeForce ROG Strix RTX 2070 OC grafikkort 8G,2500,GeForce RTX 2070 8 GB,NVIDIA,rtx 2070,,rtx 2070,1,,https://www.finn.no/recommerce/forsale/item/375233518
Geforce 1660 ti Ghost 6gb,1100,GeForce GTX 1660 Ti 6 GB,NVIDIA,1660 ti,6,1660 ti,1,,https://www.finn.no/recommerce/forsale/item/376565572
RTX 2060 6GB •RESERVERT•,1109,GeForce RTX 2060 6 GB,NVIDIA,rtx 2060,6,rtx 2060,1,,https://www.finn.no/recommerce/forsale/item/375321896
GeForce RTX 3060 Ti VENTUS 2X OC,3500,GeForce RTX 3060 Ti 8 GB,NVIDIA,rtx 3060 ti,,rtx 3060 ti,1,,https://www.finn.no/recommerce/forsale/item/376208776
